City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
360,Ipixuna,BR,76.95,clear sky,-1.7625,-48.8043,Casa da Oscarina
366,Pundaguitan,PH,83.12,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
368,Nouakchott,MR,76.93,overcast clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
376,Pauini,BR,80.35,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
383,Denpasar,ID,80.26,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
388,Dhangadhi,NP,76.37,clear sky,28.7079,80.5961,Hotel Devotee
397,Acapulco,MX,81.21,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
400,Jiaojiang,CN,82.0,few clouds,28.6803,121.4428,Jiaojiang Hotel
404,Bubaque,GW,83.43,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
416,Puerto Maldonado,PE,81.0,clear sky,-12.6,-69.1833,Wasai Hotel
420,Sao Felix Do Xingu,BR,80.22,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
425,Bedi,IN,80.26,overcast clouds,22.5,70.05,Hotel Aram
431,Canon City,US,83.1,clear sky,38.441,-105.2424,Travel Inn Motel
434,Bilma,NE,82.54,clear sky,18.6853,12.9164,Expeditions Ténére voyages
436,Oussouye,SN,80.83,overcast clouds,12.485,-16.5469,Auberge du Routard
439,La Asuncion,VE,83.93,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
444,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
447,Chirongui,YT,76.93,clear sky,-12.9319,45.1483,La Villa Mahatsara
450,Iquitos,PE,79.36,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
456,Liku,ID,82.11,overcast clouds,-0.7275,119.8922,Wahyu
459,Qiongshan,CN,81.12,clear sky,20.0058,110.3542,Sun City Restaurant
461,Naze,JP,79.59,few clouds,28.3667,129.4833,オーベルジュ・アガルイ
473,Kodar,IN,76.41,heavy intensity rain,16.9833,79.9667,Hotel Athidhi Grand
477,Umm Lajj,SA,83.39,clear sky,25.0213,37.2685,Moon light Furnished Units
484,Matadi,CD,76.53,overcast clouds,-5.8167,13.45,Hotel Vivi Palace
