City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
210,Hovd,MN,48.0056,91.6419,38.41,38,4,5.23,clear sky
211,La Ronge,CA,55.1001,-105.2842,61.05,59,90,3.44,overcast clouds
212,Totness,SR,5.8833,-56.3167,79.56,87,4,11.65,clear sky
213,Kuala Terengganu,MY,5.3302,103.1408,76.95,94,20,2.3,few clouds
214,Dalbandin,PK,28.8947,64.4101,78.46,11,9,1.01,clear sky
215,Boaco,NI,12.4722,-85.6586,85.84,90,100,5.44,overcast clouds
216,Sorsk,RU,54.0033,90.2467,27.75,80,100,3.71,overcast clouds
217,Sabla,NG,12.7525,4.7077,80.58,57,66,7.92,broken clouds
218,Utinga,BR,-5.8172,-35.3954,77.4,94,40,6.91,scattered clouds
219,Pitimbu,BR,-7.4706,-34.8086,75.79,85,31,17.85,scattered clouds
220,Kharitonovo,RU,61.4009,47.4978,42.84,95,100,7.43,overcast clouds
221,Bethel,US,41.3712,-73.414,63.81,81,2,4.52,clear sky
222,Kondinskoye,RU,59.6481,67.41,29.66,91,12,8.16,few clouds
223,Jijiga,ET,9.35,42.8,64.04,70,15,5.48,few clouds
224,Owando,CG,-0.4819,15.8999,70.03,96,97,0.4,moderate rain
225,Shahrud,IR,36.4182,54.9763,52.92,62,0,6.62,clear sky
226,Sitka,US,57.0531,-135.33,51.12,71,100,6.4,overcast clouds
227,Fort-Shevchenko,KZ,44.5086,50.263,65.21,69,100,27.22,overcast clouds
228,La Carolina,ES,38.2756,-3.6153,68.72,45,100,1.97,overcast clouds
229,Kibre Mengist,ET,5.8833,38.9833,55.58,95,46,1.99,scattered clouds
230,Barrow,US,71.2906,-156.7887,22.64,84,94,6.6,overcast clouds
231,Uthal,PK,25.8072,66.6219,83.26,69,22,0.65,few clouds
232,Planeta Rica,CO,8.4147,-75.5883,79.61,85,100,8.84,overcast clouds
233,Malakal,SS,9.5334,31.6605,69.42,92,75,2.95,broken clouds
234,Manturovo,RU,58.3353,44.7619,46.04,92,100,8.5,overcast clouds
235,East London,ZA,-33.0153,27.9116,66.0,82,79,17.56,broken clouds
236,Faya,SA,18.3851,42.4509,63.12,24,4,3.62,clear sky
237,Phan Thiet,VN,10.9333,108.1,80.89,80,34,5.53,scattered clouds
238,Kholodnyy,RU,62.7167,147.95,35.29,66,99,1.9,overcast clouds
239,Oleksandrivka,UA,48.9634,32.2349,47.75,78,3,7.05,clear sky
240,Havre-Saint-Pierre,CA,50.2334,-63.5986,57.56,94,90,13.8,mist
241,Qasigiannguit,GL,68.8193,-51.1922,8.69,78,0,4.23,clear sky
242,Lata,PT,40.1629,-8.3327,64.04,97,100,1.25,overcast clouds
243,Rocha,UY,-34.4833,-54.3333,54.61,94,7,3.76,clear sky
244,Port Lincoln,AU,-34.7333,135.8667,65.7,47,100,15.73,overcast clouds
245,Husavik,IS,66.0449,-17.3389,33.71,98,100,29.48,heavy snow
246,Quesnel,CA,52.9999,-122.5029,68.5,45,75,11.5,broken clouds
247,Cabo San Lucas,MX,22.8909,-109.9124,89.62,73,5,1.99,clear sky
248,Acarau,BR,-2.8856,-40.12,79.07,83,15,18.59,few clouds
249,Urucui,BR,-7.2294,-44.5561,88.41,28,50,8.43,scattered clouds
250,Alofi,NU,-19.0595,-169.9187,80.49,61,100,8.05,overcast clouds
251,Mayo,US,38.8876,-76.5119,67.08,76,0,1.01,clear sky
252,Taltal,CL,-25.4,-70.4833,62.26,72,0,5.79,clear sky
253,Gizo,SB,-8.103,156.8419,84.06,68,94,2.86,overcast clouds
